CODE_TRANS,LAYER,mean_naturalness_100,std_naturalness_100,median_naturalness_100,mean_naturalness_250,std_naturalness_250,median_naturalness_250,mean_naturalness_500,std_naturalness_500,median_naturalness_500,mean_naturalness_1000,std_naturalness_1000,median_naturalness_1000
481_rouge_lisiere,3,315.837499999999,0.368908864084343,316,315.549898167006,0.904309094675902,316,315.548419979612,1.19502453536772,315,315.365465427225,3.45956089660695,316
480_bleu_estive,3,319.215189873417,0.410954002044251,319,319.264344262295,1.07209346890727,319,319.640284119736,2.1091428909863,319,321.715994401323,6.24991766841054,320
480_bleu_lisiere,3,317.717948717948,0.449998173712417,318,317.707910750507,0.920731638782557,318,317.292919001528,1.82451908179598,318,317.987907331975,2.64468906375745,318
483_rouge_estive,3,335,0.751067616198811,335,335.128048780487,1.49724199484132,335,335.880285277636,3.33300901259906,336,336.210948440483,6.06343990065971,336
483_rouge_lisiere,3,339.262499999999,1.28202720329952,339,339.618069815195,2.75150173132177,339,339.451498222447,4.23123035895654,339,337.782486954308,6.25296437481357,337
597_bleu_estive,3,337.873417721518,0.460244530701211,338,337.571428571428,1.38799517731326,337,338.1730474732,2.96072098701188,337,339.266199872692,4.18749580033352,339
597_bleu_lisiere,3,339.734177215189,1.13303513927089,340,339.900203665987,2.4685846846899,340,339.939347604485,3.71621939992869,339,339.684873949579,4.28785160434113,339
572_rouge_estive,3,326.126582278481,1.17319307450465,326,325.791075050709,2.53073630148088,325,325.133265513733,5.10844176149842,324,326.12689321624,8.40154963874918,325
572_rouge_lisiere,3,323.961538461538,1.83584192725137,324,324.799188640973,2.47220642656115,325,325.946428571428,4.98187403268599,326,327.845429080723,8.20651413934861,327
571_bleu_estive,3,331.4125,1.24191132936293,331,331.533742331288,3.0762940986615,331,331.975983648441,5.5984646059008,332,331.993504839531,9.22383032927765,332
571_bleu_lisiere,3,338.683544303797,1.17510359142027,339,338.393509127789,3.03316998211165,338,337.976590330788,5.33140501822017,339,336.348440483768,8.38755191738881,338
425_rouge_estive,3,344.037974683544,1.14120786527439,344,343.71047227926,2.0113520697818,344,343.964448958862,4.28062778268273,344,343.97568427753,8.53676928066894,346
425_rouge_lisiere,3,347.038961038961,1.07439573402319,347,347.535496957403,2.22316259719362,347,347.569317023445,3.98641122528651,348,346.715541401273,6.87496894213277,349
560_bleu_estive,3,339.192307692307,1.56940044331562,339.5,339.032454361054,3.89035337101467,339,338.754966887417,6.82199026928782,339,339.777890983189,10.5068728075448,341
560_bleu_lisiere,3,341.666666666666,1.48174071805952,341,341.833333333333,3.70517473045439,342,341.984670413898,6.24534737861878,342,342.48832461401,10.0819165048689,344
632_rouge_estive,3,342.113924050632,0.746084153331209,342,342.131845841784,0.878443696060263,342,343.016802443991,1.79250043237803,343,344.215459060231,3.84076672286846,344
632_rouge_lisiere,3,345.240506329113,0.782970485781879,345,344.981670061099,1.5481642966788,345,345.125,2.32273314991504,345,345.046212603437,4.47145589986209,345
335_bleu_estive,3,348.051948051948,0.700576829052529,348,348.362525458248,1.36546767532817,348,349.107543323139,2.6863103282803,348,349.458684009181,3.33940623065618,349
335_bleu_lisiere,3,351.294871794871,0.935194678196762,351,351.392712550607,1.58549457486537,352,351.142784293727,2.3288996946496,352,350.441532001526,3.02182509310729,351
552_rouge_estive,3,333.341772151898,0.613891425467451,333,333.638775510204,1.50987448140708,333,334.428862825089,3.0031707164116,334,333.917356424296,4.35124353494968,334
552_rouge_lisiere,3,332.298701298701,0.665766525609158,332,332.640243902439,1.69007334396804,333,332.752803261977,3.03841440069762,333,332.598903900076,4.42409501401502,333
257_bleu_estive,3,330.645569620253,0.712243285905582,331,330.171079429735,1.80947344565033,331,330.013238289205,3.16675511935927,331,330.958741882083,5.17032733770683,332
257_bleu_lisiere,3,329.384615384615,1.34193478032097,329,328.687626774847,2.15424225244146,329,328.887983706721,2.9390755657174,329,329.773745861981,5.26966887315398,330
326_rouge_estive,3,339.525641025641,0.812156972549326,339,339.826883910386,2.15219545576189,340,340.933265410086,4.07096110072392,341,341.681777664586,6.87767416598837,341
326_rouge_lisiere,3,344.708860759493,1.00821811401214,345,344.834693877551,3.1788876902315,345,344.705252422233,5.18616387289274,344,344.486820323443,7.55147778554871,343
497_bleu_estive,3,341.291139240506,0.696317596935447,341,342.309572301425,1.2579239760405,342,343.973496432212,2.75213028548704,343,344.785105028644,6.26391012005685,343
497_bleu_lisiere,3,343.454545454545,0.7984636960488,343,344.281947261663,2.39073996651293,344,345.561895058583,3.61854267916354,345,346.633040377022,6.79894674916623,344
646_rouge_estive,3,330.088607594936,0.798572673194304,330,329.498981670061,1.34690524876653,330,329.987257900101,2.03620159751434,329,330.321110262286,3.22420341157775,329
646_rouge_lisiere,3,331.215189873417,1.05147137505292,331,331.447154471544,2.09898640669445,331,331.708099847172,3.06008277304818,331,331.072674048619,3.36089224469368,330
313_bleu_estive,3,329.088607594936,0.284176510387894,329,328.864197530864,0.41829813200241,329,328.470588235294,0.98962521786233,329,327.618193384223,3.77694220374593,328
313_bleu_lisiere,3,327.53947368421,0.785406188469652,328,327.704684317718,0.972304070671147,328,326.968893421723,2.22877003268741,327,325.713302752293,5.21469405104021,328
387_rouge_estive,3,338.699999999999,1.39999999999999,338,339.189300411522,2.80819800829389,339,339.930315361139,4.29100725206471,341,339.5172545524,5.30888402464991,340
387_rouge_lisiere,3,335.734177215189,0.706369945736897,336,336.390243902439,2.11415725908016,336,337.346251912289,4.1774689452043,337,338.486696371737,5.19739394828822,339
388_bleu_estive,3,341.701298701298,0.721919070633107,342,341.801217038539,1.61667230769263,342,341.170570264765,3.23422530452335,341,339.093295946979,4.86608466167537,339
388_bleu_lisiere,3,342.873417721518,1.02336116108393,343,342.900406504065,1.48304778380986,343,341.654749744637,3.10380592981199,342,338.979381443298,4.66255559651253,339
396_rouge_estive,3,336.320987654321,1.6690883184129,337,336.981557377049,3.06915979331017,337,337.530518819938,4.87429306613895,337,338.86905064902,6.81796405764228,337
396_rouge_lisiere,3,342.024999999999,2.09746871251992,341,342.362139917695,3.27989993275713,343,341.205493387589,5.4398112677178,341,341.06101910828,7.37958771781905,340
246_bleu_estive,3,338,0.693550761103935,338,338.350305498981,1.19037847972832,338,339.025484199796,3.431336507742,338,340.562149770759,5.74754007173432,341
